Basins,Age,Name,Depth,Thickness,Event,Erosion,Lithology,Petroleum system,Basins,Age,Name,Depth,Thickness,Event,Erosion,Lithology,Petroleum system,Basins,Age,Name,Depth,Thickness,Event,Erosion,Lithology,Petroleum system,Basins,Age,Name,Depth,Thickness,Event,Erosion,Lithology,Petroleum system,Age,Name,Present ,Present,Event ,Erosion,Lithology,Petroleum system,Age,Name,Present Depth,Present Thickness,Event type,Erosion,Lithology,Petroleum system
Doseo,126,E5,3913,0,Erosion,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,127,E Zone,3913,413,Deposition,100,Sandstone,Reservoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,131,F-Sandstone,4326,1067,Deposition,,Sandstone,Reservoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,132,F-Sandstone -Base,5393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,Age,Name,Present Depth,Present Thickness,Event type,Erosion,Lithology,Petroleum system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,0,Q+N,0,740,Deposition,,Sandstone ,Overburden ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,20,E1,740,0,Erosion,-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,24,P,740,121,Deposition,300,Sandstone ,Overburden ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,66,E2,861,0,Erosion,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,72,Campanian Sandstone,861,282,Deposition,100,Sandstone ,Reservoir ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,84,E3,1143,0,Erosion,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,90,Miandoum Fm,1143,248,Deposition,100,Shale ,Seal ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
